Code,DelistingDate,ListingDate,ListingDateSource,Market,Name,SecuGroup,SnapshotDate,Source,IsDelisted
000010,2004-07-02,1956-03-03,FDR_DELISTING,KOSPI,조흥은행,주권,2026-09-06,KRX-DELISTING,True
000020,,1976-03-24,FDR_DESC,KOSPI,동화약품,주권,2026-09-06,KOSPI-DESC,False
000030,2019-02-13,2014-11-19,FDR_DELISTING,KOSPI,우리은행,주권,2026-09-06,KRX-DELISTING,True
000040,,1976-05-25,FDR_DESC,KOSPI,KR모터스,주권,2026-09-06,KOSPI-DESC,False
000050,,1956-03-03,FDR_DESC,KOSPI,경방,주권,2026-09-06,KOSPI-DESC,False
000060,2023-02-21,1956-07-02,FDR_DELISTING,KOSPI,메리츠화재,주권,2026-09-06,KRX-DELISTING,True
000070,,1968-12-27,FDR_DESC,KOSPI,삼양홀딩스,주권,2026-09-06,KOSPI-DESC,False
000075,2025-08-20,1992-02-21,FDR_DELISTING,KOSPI,삼양홀딩스우,주권,2026-09-06,KRX-DELISTING,True
000080,,2009-10-19,FDR_DESC,KOSPI,하이트진로,주권,2026-09-06,KOSPI-DESC,False
000085,2003-01-10,1989-08-31,FDR_DELISTING,KOSPI,진로(1우),주권,2026-09-06,KRX-DELISTING,True
000087,,2014-06-17,FDR_FIRST_TRADE,KOSPI,하이트진로2우B,주권,2026-09-06,KOSPI-DESC,False
000090,1998-10-09,1989-01-26,FDR_DELISTING,KOSPI,두산상사,주권,2026-09-06,KRX-DELISTING,True
000100,,1962-11-01,FDR_DESC,KOSPI,유한양행,주권,2026-09-06,KOSPI-DESC,False
000105,,2014-06-17,FDR_FIRST_TRADE,KOSPI,유한양행우,주권,2026-09-06,KOSPI-DESC,False
000107,2004-01-08,1999-01-29,FDR_DELISTING,KOSPI,유한양행(2우B),주권,2026-09-06,KRX-DELISTING,True
000110,2005-04-22,1956-03-03,FDR_DELISTING,KOSPI,제일은행,주권,2026-09-06,KRX-DELISTING,True
000120,,1956-07-02,FDR_DESC,KOSPI,CJ대한통운,주권,2026-09-06,KOSPI-DESC,False
000130,1999-01-11,1956-03-03,FDR_DELISTING,KOSPI,한일은행,주권,2026-09-06,KRX-DELISTING,True
000140,,1973-09-19,FDR_DESC,KOSPI,하이트진로홀딩스,주권,2026-09-06,KOSPI-DESC,False
000145,,2014-06-17,FDR_FIRST_TRADE,KOSPI,하이트진로홀딩스우,주권,2026-09-06,KOSPI-DESC,False
000147,2001-07-24,1998-08-17,FDR_DELISTING,KOSPI,하이트맥주(2우B),주권,2026-09-06,KRX-DELISTING,True
000149,2002-05-21,2000-01-11,FDR_DELISTING,KOSPI,하이트맥주(3우B),주권,2026-09-06,KRX-DELISTING,True
000150,,1973-06-29,FDR_DESC,KOSPI,두산,주권,2026-09-06,KOSPI-DESC,False
000155,,2014-06-17,FDR_FIRST_TRADE,KOSPI,두산우,주권,2026-09-06,KOSPI-DESC,False
