Code,Name,ListingDate,DelistingDate,Source
000020,동화약품,1976-03-24,,KOSPI-DESC
000040,KR모터스,1976-05-25,,KOSPI-DESC
000050,경방,1956-03-03,,KOSPI-DESC
000070,삼양홀딩스,1968-12-27,,KOSPI-DESC
000075,삼양홀딩스우,1992-02-21,2025-08-20,KRX-DELISTING
000080,하이트진로,2009-10-19,,KOSPI-DESC
000100,유한양행,1962-11-01,,KOSPI-DESC
000120,CJ대한통운,1956-07-02,,KOSPI-DESC
000140,하이트진로홀딩스,1973-09-19,,KOSPI-DESC
000150,두산,1973-06-29,,KOSPI-DESC
000180,성창기업지주,1976-06-02,,KOSPI-DESC
000210,DL,1976-02-02,,KOSPI-DESC
000220,유유제약,1975-11-18,,KOSPI-DESC
000230,일동홀딩스,1975-06-28,,KOSPI-DESC
000240,한국앤컴퍼니,1968-12-27,,KOSPI-DESC
000270,기아,1973-07-21,,KOSPI-DESC
000300,DH오토넥스,1975-06-09,,KOSPI-DESC
000320,노루홀딩스,1973-08-10,,KOSPI-DESC
000370,한화손해보험,1975-06-30,,KOSPI-DESC
000390,SP삼화,1993-09-10,,KOSPI-DESC
000400,롯데손해보험,1971-04-16,,KOSPI-DESC
000430,대원강업,1977-06-22,,KOSPI-DESC
000480,CR홀딩스,1978-06-30,,KOSPI-DESC
000490,대동,1975-06-27,,KOSPI-DESC
000500,가온전선,1987-06-08,,KOSPI-DESC
000520,삼일제약,1985-05-29,,KOSPI-DESC
000540,흥국화재,1974-12-05,,KOSPI-DESC
000590,CS홀딩스,1975-12-22,,KOSPI-DESC
000640,동아쏘시오홀딩스,1970-02-10,,KOSPI-DESC
000650,천일고속,1977-06-23,,KOSPI-DESC
000660,SK하이닉스,1996-12-26,,KOSPI-DESC
000670,영풍,1976-06-12,,KOSPI-DESC
000680,LS네트웍스,1973-11-15,,KOSPI-DESC
000700,유수홀딩스,1956-03-03,,KOSPI-DESC
000720,현대건설,1984-12-22,,KOSPI-DESC
000760,이화산업,1994-04-29,,KOSPI-DESC
000810,삼성화재,1975-06-30,,KOSPI-DESC
000850,화천기공,1999-11-18,,KOSPI-DESC
000860,강남제비스코,1975-11-12,,KOSPI-DESC
000880,한화,1976-06-24,,KOSPI-DESC
000885,한화우,1990-01-22,2025-07-15,KRX-DELISTING
000890,보해양조,1988-09-23,,KOSPI-DESC
000910,유니온,1996-07-03,,KOSPI-DESC
000950,전방,1968-10-21,,KOSPI-DESC
000970,한국주철관,1969-12-12,,KOSPI-DESC
000990,DB하이텍,1975-12-12,,KOSPI-DESC
001020,페이퍼코리아,1976-06-26,,KOSPI-DESC
001040,CJ,1973-06-29,,KOSPI-DESC
001060,JW중외제약,1976-06-14,,KOSPI-DESC
001070,대한방직,1973-12-28,,KOSPI-DESC
001080,만호제강,1977-06-18,,KOSPI-DESC
001120,LX인터내셔널,1976-01-30,,KOSPI-DESC
001130,대한제분,1970-11-25,,KOSPI-DESC
001140,국보,1989-12-02,2026-01-27,KRX-DELISTING
001200,유진투자증권,1987-08-24,,KOSPI-DESC
001210,금호전기,1973-11-15,,KOSPI-DESC
001230,동국홀딩스,1988-05-09,,KOSPI-DESC
001250,GS글로벌,1976-06-26,,KOSPI-DESC
001260,남광토건,1976-12-28,,KOSPI-DESC
001270,부국증권,1988-07-19,,KOSPI-DESC
001290,상상인증권,1988-09-23,,KOSPI-DESC
001340,PKC,1976-06-10,,KOSPI-DESC
001360,삼성제약,1975-07-04,,KOSPI-DESC
001380,SG글로벌,1976-06-29,,KOSPI-DESC
001390,KG케미칼,1989-08-25,,KOSPI-DESC
001420,태원물산,1975-06-24,,KOSPI-DESC
001430,세아베스틸지주,1991-03-12,,KOSPI-DESC
001440,대한전선,1968-12-27,,KOSPI-DESC
001450,현대해상,1989-08-25,,KOSPI-DESC
001460,BYC,1975-06-02,,KOSPI-DESC
001470,삼부토건,1976-06-26,,KOSPI-DESC
001500,현대차증권,1990-06-09,,KOSPI-DESC
001510,SK증권,1986-09-20,,KOSPI-DESC
001520,동양,1976-06-25,,KOSPI-DESC
001530,DI동일,1964-01-04,,KOSPI-DESC
001550,조비,1976-12-28,,KOSPI-DESC
001560,제일연마,2005-12-09,,KOSPI-DESC
001570,금양,1976-12-17,,KOSPI-DESC
001620,케이비아이동국실업,1990-09-15,,KOSPI-DESC
001630,종근당홀딩스,1976-06-30,,KOSPI-DESC
001680,대상,1970-04-01,,KOSPI-DESC
001720,신영증권,1987-08-24,,KOSPI-DESC
001740,SK네트웍스,1977-06-30,,KOSPI-DESC
001750,한양증권,1988-03-04,,KOSPI-DESC
001770,SHD,1988-11-23,,KOSPI-DESC
001780,알루코,2007-06-07,,KOSPI-DESC
001790,대한제당,1968-12-27,,KOSPI-DESC
001800,오리온홀딩스,1975-06-27,,KOSPI-DESC
001820,삼화콘덴서,1976-06-26,,KOSPI-DESC
001940,KISCO홀딩스,1989-11-13,,KOSPI-DESC
002020,코오롱,1975-06-23,,KOSPI-DESC
002030,아세아,1974-06-03,,KOSPI-DESC
002070,비비안,1976-07-13,,KOSPI-DESC
002100,경농,1977-06-30,,KOSPI-DESC
002140,고려산업,1991-01-14,,KOSPI-DESC
002150,도화엔지니어링,2010-08-12,,KOSPI-DESC
002170,SYTS,1989-11-10,,KOSPI-DESC
002200,한국수출포장,1974-06-28,,KOSPI-DESC
002210,동성제약,1990-01-19,,KOSPI-DESC
002220,한일철강,1988-10-07,,KOSPI-DESC
002240,고려제강,1976-05-25,,KOSPI-DESC
002310,아세아제지,1988-12-15,,KOSPI-DESC
002320,한진,1974-08-12,,KOSPI-DESC
002350,넥센타이어,1976-05-19,,KOSPI-DESC
002360,SH에너지화학,1985-12-23,,KOSPI-DESC
002380,KCC,1973-06-25,,KOSPI-DESC
002390,한독,1976-06-30,,KOSPI-DESC
002410,범양건영,1988-05-25,,KOSPI-DESC
002420,세기상사,1968-12-27,,KOSPI-DESC
002450,삼익악기,1988-09-30,,KOSPI-DESC
002460,HS화성,1988-09-29,,KOSPI-DESC
002600,조흥,1976-12-23,,KOSPI-DESC
002620,제일파마홀딩스,1988-01-20,,KOSPI-DESC
002630,오리엔트바이오,1976-12-28,,KOSPI-DESC
002690,동일제강,2015-09-24,,KOSPI-DESC
002700,신일전자,1975-09-30,,KOSPI-DESC
002710,TCC스틸,1984-12-21,,KOSPI-DESC
002720,국제약품,1975-12-27,,KOSPI-DESC
002760,보락,1989-11-30,,KOSPI-DESC
002780,진흥기업,1977-06-25,,KOSPI-DESC
002790,아모레퍼시픽홀딩스,1973-04-30,,KOSPI-DESC
002810,삼영무역,1988-03-28,,KOSPI-DESC
002820,SUN&L,1976-05-22,,KOSPI-DESC
002840,미원상사,1989-09-25,,KOSPI-DESC
002870,신풍,1976-06-30,,KOSPI-DESC
002880,디와이에이,1977-02-18,,KOSPI-DESC
002900,TYM,1973-06-26,,KOSPI-DESC
002920,유성기업,1988-10-10,,KOSPI-DESC
002960,한국쉘석유,1988-08-10,,KOSPI-DESC
002990,금호건설,1976-06-26,,KOSPI-DESC
003000,부광약품,1988-08-05,,KOSPI-DESC
003010,혜인,1988-09-20,,KOSPI-DESC
003030,세아제강지주,1969-05-13,,KOSPI-DESC
003060,에이프로젠바이오로직스,1984-10-19,,KOSPI-DESC
003070,코오롱글로벌,1978-09-15,,KOSPI-DESC
003080,SB성보,1976-12-23,,KOSPI-DESC
003090,대웅,1973-06-26,,KOSPI-DESC
003120,일성아이에스,1985-01-14,,KOSPI-DESC
003160,디아이,1996-07-31,,KOSPI-DESC
003200,일신방직,1973-05-23,,KOSPI-DESC
003220,대원제약,1999-12-15,,KOSPI-DESC
003230,삼양식품,1975-06-30,,KOSPI-DESC
003240,태광산업,1975-12-27,,KOSPI-DESC
003280,흥아해운,1976-06-29,,KOSPI-DESC
003300,한일홀딩스,1969-11-20,,KOSPI-DESC
003350,한국화장품제조,1978-02-06,,KOSPI-DESC
003460,유화증권,1987-08-24,,KOSPI-DESC
003470,유안타증권,1988-01-21,,KOSPI-DESC
003480,한진중공업홀딩스,1956-03-03,,KOSPI-DESC
003490,대한항공,1966-03-18,,KOSPI-DESC
003520,영진약품,1973-06-25,,KOSPI-DESC
003530,한화투자증권,1986-11-25,,KOSPI-DESC
003540,대신증권,1975-10-01,,KOSPI-DESC
003550,LG,1970-02-13,,KOSPI-DESC
003560,IHQ,1973-12-18,2026-01-15,KRX-DELISTING
003570,SNT다이내믹스,1976-07-08,,KOSPI-DESC
003580,HLB글로벌,1990-03-23,,KOSPI-DESC
003610,방림,1989-05-30,,KOSPI-DESC
003620,KG모빌리티,1975-05-29,,KOSPI-DESC
003650,미창석유,1989-09-27,,KOSPI-DESC
003670,포스코퓨처엠,2019-05-29,,KOSPI-DESC
003680,한성기업,1989-01-26,,KOSPI-DESC
003690,코리안리,1969-12-22,,KOSPI-DESC
003720,삼영,1976-06-30,,KOSPI-DESC
003780,진양산업,1973-06-26,,KOSPI-DESC
003830,대한화섬,1985-12-23,,KOSPI-DESC
003850,보령,1988-10-24,,KOSPI-DESC
003920,남양유업,1978-06-24,,KOSPI-DESC
003960,사조대림,1976-09-16,,KOSPI-DESC
004000,롯데정밀화학,1976-04-15,,KOSPI-DESC
004020,현대제철,1987-05-23,,KOSPI-DESC
004060,SG세계물산,1976-04-19,,KOSPI-DESC
004080,신흥,1991-02-08,,KOSPI-DESC
004090,한국석유,1977-06-25,,KOSPI-DESC
004100,태양금속,1976-05-25,,KOSPI-DESC
004140,동방,1988-08-10,,KOSPI-DESC
004150,한솔홀딩스,1972-05-17,,KOSPI-DESC
004170,신세계,1985-08-19,,KOSPI-DESC
004250,NPC,1969-09-08,,KOSPI-DESC
004270,남성,1989-11-14,,KOSPI-DESC
004310,현대약품,1978-06-28,,KOSPI-DESC
