# 삼성전자(005930) 일별 뉴스 감성. KR-FinBERT(snunlp/KR-FinBert-SC) 전수 채점
# 원천: backend/analysis/text/data/processed/news_corpus.csv, backend value_pipeline news_agent 규칙(관련성 필터, 하루 최대 200건, 제목 + 본문 앞 1000자)
# 생성: python frontend/scripts/build_sentiment_fixture.py --daily-csv backend/analysis/text/data/processed/news_sentiment_daily.csv
#       이 파일의 값은 전수 채점 실행의 일별 결과(<저장소 밖 파일: 전수 배치 stderr 로그>)를 옮겨 적었다.
# n = 채점 기사 수, score = 그날 기사 감성 평균(-1 부정 ~ +1 긍정). '#' 줄은 주석이다.
date,n,score
2025-10-29,1,0.0000
2025-10-30,200,0.3535
2025-10-31,200,0.2621
2025-11-01,70,0.1528
2025-11-02,122,0.2132
2025-11-03,200,0.3534
2025-11-04,200,-0.1397
2025-11-05,200,-0.0371
2025-11-06,200,0.3754
2025-11-07,200,0.2020
2025-11-08,46,0.3490
2025-11-09,99,0.2234
2025-11-10,175,0.4226
2025-11-11,178,0.3850
2025-11-12,200,0.3161
2025-11-13,200,0.3407
2025-11-14,200,0.1431
2025-11-15,16,0.2494
2025-11-16,200,0.3107
2025-11-17,200,0.3268
2025-11-18,136,0.1418
2025-11-19,200,0.3422
2025-11-20,200,0.3834
2025-11-21,200,-0.0235
2025-11-22,23,0.0010
2025-11-23,84,0.2596
2025-11-24,110,0.1518
2025-11-25,200,0.2217
2025-11-26,200,0.5776
2025-11-27,176,0.3824
2025-11-28,161,0.1188
2025-11-29,14,0.0829
2025-11-30,72,0.3238
2025-12-01,198,0.3917
2025-12-02,200,0.4096
2025-12-03,182,0.4806
2025-12-04,169,0.2929
2025-12-05,60,0.2199
2025-12-06,21,0.2966
2025-12-07,74,0.4217
2025-12-08,107,0.4138
2025-12-09,178,0.4095
2025-12-10,125,0.3015
2025-12-11,167,0.3465
2025-12-12,188,0.4680
2025-12-13,22,0.3971
2025-12-14,88,0.3463
2025-12-15,200,0.2369
2025-12-16,146,0.2554
2025-12-17,116,0.5362
2025-12-18,200,0.1613
2025-12-19,146,0.4688
2025-12-20,14,0.2095
2025-12-21,55,0.6037
2025-12-22,200,0.3298
2025-12-23,200,0.2626
2025-12-24,167,0.2534
2025-12-25,89,0.4081
2025-12-26,178,0.4289
2025-12-27,12,0.2861
2025-12-28,60,0.5361
2025-12-29,193,0.4604
2025-12-30,200,0.4440
2025-12-31,82,0.2853
