# 현대차(005380) 일별 뉴스 감성. KR-FinBERT(snunlp/KR-FinBert-SC) 전수 채점
# 원천: backend/analysis/text/data/processed/news_corpus_005380.csv, backend value_pipeline news_agent 규칙(관련성 필터, 하루 최대 200건, 제목 + 본문 앞 1000자)
# 생성: python frontend/scripts/build_sentiment_fixture.py --ticker 005380 --daily-csv backend/analysis/text/data/processed/news_sentiment_daily_005380.csv
# n = 채점 기사 수, score = 그날 기사 감성 평균(-1 부정 ~ +1 긍정). '#' 줄은 주석이다.
date,n,score
2025-10-29,12,0.6475
2025-10-30,36,0.2321
2025-10-31,25,0.4219
2025-11-01,1,0.0000
2025-11-02,5,0.0000
2025-11-03,25,0.1355
2025-11-04,3,-0.3330
2025-11-05,11,0.3494
2025-11-06,10,0.4332
2025-11-07,12,0.5097
2025-11-08,1,0.0006
2025-11-09,1,0.0066
2025-11-10,6,0.4999
2025-11-11,13,0.3641
2025-11-12,5,0.7923
2025-11-13,5,0.2003
2025-11-14,8,-0.1139
2025-11-15,1,-0.0000
2025-11-16,11,0.4309
2025-11-17,16,0.4578
2025-11-18,8,0.5600
2025-11-19,11,-0.0449
2025-11-20,8,0.6178
2025-11-21,5,0.7998
2025-11-22,2,-0.0467
2025-11-23,1,0.0001
2025-11-24,4,0.9676
2025-11-25,8,0.4047
2025-11-26,7,0.8458
2025-11-27,4,0.1687
2025-11-28,15,0.5803
2025-11-29,1,-0.0566
2025-11-30,3,0.4755
2025-12-01,9,-0.2188
2025-12-02,11,0.6057
2025-12-03,16,0.7010
2025-12-04,15,0.2691
2025-12-05,9,0.6519
2025-12-06,2,0.0010
2025-12-07,1,-0.0000
2025-12-08,15,0.0838
2025-12-09,6,0.1558
2025-12-10,12,0.1408
2025-12-11,15,0.3299
2025-12-12,9,0.2266
2025-12-14,6,0.6106
2025-12-15,8,0.2750
2025-12-16,25,0.4176
2025-12-17,10,0.3967
2025-12-18,12,0.1626
2025-12-19,9,0.2975
2025-12-20,1,0.7558
2025-12-21,4,0.5939
2025-12-22,11,0.4689
2025-12-23,7,0.5782
2025-12-24,14,0.2512
2025-12-25,5,0.5018
2025-12-26,6,0.3510
2025-12-27,1,-0.0000
2025-12-28,3,0.3385
2025-12-29,7,0.4197
2025-12-30,8,0.2486
2025-12-31,1,-0.0133
